district,companion_animal_registration,seoul_animal_hospital,hospital_count,beauty_count,pharmacy_count,animal_trust_count,korea_urban_park_info,abandon_count,deceased_count,seoul_noise_vibration_complaint,pollution_co_concentration_by_station,pollution_emission_facility,seoul_abandonment_statistics,1인당 공원 면적,1인당 도시공원 면적,1인당 도보생활권 공원면적
강남구,34843.0,94.0,94.0,154.0,287.0,102.0,133.0,141.0,41.0,9494.0,0.411,456.0,243.4,14.16,11.82,6.73
강동구,25515.0,59.0,47.0,87.0,156.0,37.0,74.0,258.0,70.0,2361.0,0.439,140.0,394.6,7.36,6.19,4.59
강북구,18585.0,27.0,27.0,56.0,69.0,28.0,54.0,221.0,100.0,1311.0,0.442,87.0,357.4,49.73,8.16,7.27
강서구,33636.0,50.0,50.0,101.0,146.0,60.0,151.0,222.0,117.0,2685.0,0.48,373.0,335.4,7.95,6.04,6.21
관악구,26408.0,27.0,27.0,57.0,118.0,34.0,60.0,261.0,110.0,1842.0,0.488,83.0,780.6,25.08,24.95,3.95
광진구,20272.0,36.0,33.0,56.0,89.0,22.0,43.0,163.0,69.0,1329.0,0.45,84.0,265.4,9.85,8.53,3.85
구로구,19412.0,29.0,29.0,45.0,92.0,13.0,62.0,178.0,89.0,1114.0,0.378,274.0,218.0,8.93,8.01,4.01
금천구,12925.0,16.0,16.0,40.0,62.0,24.0,52.0,153.0,83.0,1237.0,0.447,387.0,188.8,11.51,10.83,2.34
노원구,27138.0,45.0,45.0,83.0,117.0,24.0,4.0,182.0,90.0,1078.0,0.462,151.0,298.2,29.31,28.65,3.77
도봉구,19873.0,26.0,26.0,59.0,73.0,21.0,71.0,178.0,67.0,740.0,0.497,124.0,281.0,32.8,4.04,3.63
동대문구,19074.0,32.0,32.0,57.0,92.0,30.0,50.0,196.0,66.0,3447.0,0.46,97.0,315.0,3.38,2.71,2.93
동작구,18509.0,21.0,21.0,43.0,67.0,16.0,52.0,177.0,58.0,1619.0,0.403,78.0,290.2,11.2,10.6,5.93
마포구,23441.0,47.0,47.0,61.0,115.0,27.0,90.0,323.0,78.0,2756.0,0.466,139.0,521.4,12.18,8.68,11.58
서대문구,17781.0,27.0,27.0,50.0,78.0,20.0,55.0,141.0,68.0,2109.0,0.486,78.0,210.0,15.93,15.09,3.53
서초구,23786.0,53.0,53.0,85.0,158.0,41.0,128.0,166.0,82.0,4717.0,0.413,329.0,167.2,36.59,34.63,5.39
성동구,16889.0,27.0,26.0,50.0,66.0,20.0,47.0,160.0,66.0,2477.0,0.392,404.0,213.4,10.84,4.32,10.21
성북구,24200.0,34.0,34.0,74.0,87.0,23.0,53.0,172.0,90.0,2478.0,0.496,106.0,308.2,19.46,10.52,3.84
소계,,,,,,,,,,,,,,17.96,12.38,5.75
송파구,33706.0,83.0,83.0,143.0,180.0,88.0,140.0,195.0,100.0,2430.0,0.464,272.0,291.4,7.24,3.19,6.66
양천구,23770.0,49.0,49.0,68.0,83.0,32.0,96.0,209.0,82.0,1104.0,0.474,104.0,373.6,6.94,5.98,5.03
영등포구,18997.0,37.0,37.0,59.0,116.0,28.0,50.0,141.0,62.0,4268.0,0.457,423.0,222.8,7.55,1.66,7.43
용산구,17760.0,28.0,28.0,41.0,32.0,32.0,48.0,225.0,64.0,2673.0,0.48,165.0,338.6,7.81,3.33,7.1
은평구,28005.0,42.0,42.0,77.0,125.0,27.0,101.0,227.0,114.0,1234.0,0.48,79.0,371.8,30.58,14.01,4.69
종로구,9577.0,12.0,12.0,13.0,81.0,6.0,43.0,153.0,98.0,2057.0,0.487,341.0,237.4,76.0,41.45,20.08
중구,8042.0,19.0,19.0,19.0,57.0,11.0,38.0,84.0,40.0,1180.0,0.463,546.0,137.8,24.32,23.65,10.55
중랑구,23018.0,32.0,31.0,70.0,88.0,29.0,58.0,209.0,92.0,1523.0,0.396,96.0,365.8,13.42,12.95,4.86
